axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
pitch,down,10.00,-22.00,-32.00,44
pitch,down,5.00,-20.00,-25.00,42
pitch,down,15.00,-10.00,-25.00,29
pitch,down,10.00,-5.00,-15.00,42
pitch,down,5.00,-15.00,-20.00,42
pitch,down,22.00,0.00,-22.00,30
pitch,down,20.00,0.00,-20.00,43
pitch,down,15.00,0.00,-15.00,44
pitch,down,10.00,0.00,-10.00,44
pitch,down,5.00,0.00,-5.00,43
pitch,up,-10.00,5.00,15.00,30
pitch,up,-5.00,10.00,15.00,43
pitch,down,5.00,-10.00,-15.00,30
pitch,down,10.00,-5.00,-15.00,29
pitch,up,-2.00,2.00,4.00,30
pitch,down,2.00,-2.00,-4.00,4294967295
pitch,up,0.00,22.00,22.00,43
pitch,up,0.00,20.00,20.00,43
pitch,up,0.00,15.00,15.00,43
pitch,up,0.00,10.00,10.00,43
pitch,up,0.00,5.00,5.00,43
pitch,down,0.00,-22.00,-22.00,41
pitch,down,0.00,-20.00,-20.00,43
pitch,down,0.00,-15.00,-15.00,43
pitch,down,0.00,-10.00,-10.00,45
pitch,down,0.00,-5.00,-5.00,42
pitch,up,-10.00,15.00,25.00,43
pitch,up,-15.00,10.00,25.00,44
pitch,down,10.00,-15.00,-25.00,29
pitch,down,15.00,-10.00,-25.00,43
pitch,up,-7.00,18.00,25.00,17
pitch,up,-18.00,7.00,25.00,30
pitch,down,7.00,-18.00,-25.00,30
pitch,down,18.00,-7.00,-25.00,30
